steep_time,water_temp,milk_temp,sugar_level,tea_type_code,satisfaction
162,89,11,9.0,3,6.08
211,72,0,14.5,2,3.04
295,94,0,9.2,2,2.5
190,74,24,6.8,2,4.65
68,95,0,10.3,3,3.75
94,83,7,4.7,2,9.34
250,87,37,5.9,2,3.34
249,77,21,8.1,2,2.5
100,98,4,0.2,1,7.37
122,80,0,10.7,3,8.93
100,97,11,6.7,1,6.77
158,81,30,8.4,3,6.75
201,76,0,10.7,2,4.97
155,76,35,10.4,1,2.5
88,73,10,4.3,2,6.42
193,97,23,13.4,3,2.5
249,70,0,9.7,1,2.5
257,77,40,10.4,2,2.5
155,93,15,3.8,2,7.12
140,96,5,6.2,3,2.5
185,71,29,14.8,3,2.5
204,100,8,9.5,2,2.5
156,78,9,10.4,3,7.37
149,72,23,9.7,1,2.5
163,70,28,3.1,3,3.76
149,85,5,14.9,2,8.68
68,78,19,13.5,2,7.09
171,99,28,0.1,2,2.92
248,78,0,0.3,2,3.6
195,76,36,8.1,3,3.85
217,75,11,9.5,2,4.12
251,70,0,10.8,3,2.5
76,81,32,4.2,2,5.97
154,72,24,2.9,1,2.5
282,91,27,3.1,3,2.5
293,71,36,2.0,2,2.5
158,87,16,1.2,3,7.19
67,83,15,13.3,3,7.77
145,88,25,8.9,2,7.76
284,77,8,6.9,2,2.5
227,89,0,14.5,2,5.51
151,95,0,0.4,1,9.22
188,95,37,3.6,2,3.79
75,98,8,9.2,3,2.5
288,91,0,1.7,1,6.61
159,70,40,6.0,2,2.5
282,79,35,12.8,1,2.5
61,86,35,14.1,2,6.5
238,80,6,12.3,2,3.85
140,95,29,10.2,2,4.39
117,90,14,13.2,1,7.08
160,78,38,14.9,2,4.92
249,74,0,10.2,3,2.5
172,99,28,4.8,3,2.5
187,89,19,6.7,3,4.39
112,92,17,8.2,1,7.86
205,84,0,11.4,1,5.62
229,78,5,1.2,1,2.5
130,94,39,5.6,3,2.5
150,79,6,3.8,2,8.76
186,78,6,8.8,2,6.27
115,70,0,14.4,1,2.5
206,89,0,2.5,1,9.74
203,92,0,4.2,2,6.84
151,73,31,1.2,1,2.5
271,82,32,2.0,3,2.5
115,99,8,0.4,1,7.7
